Date,Ticker,Adj_Close
2017-01-03,AAPL,26.721237182617188
2017-01-04,AAPL,26.69133186340332
2017-01-05,AAPL,26.827064514160156
2017-01-06,AAPL,27.126140594482422
2017-01-09,AAPL,27.37459945678711
2017-01-10,AAPL,27.402210235595703
2017-01-11,AAPL,27.549442291259766
2017-01-12,AAPL,27.434412002563477
2017-01-13,AAPL,27.3861026763916
2017-01-17,AAPL,27.606964111328125
2017-01-18,AAPL,27.604660034179688
2017-01-19,AAPL,27.55634880065918
2017-01-20,AAPL,27.606964111328125
2017-01-23,AAPL,27.625362396240234
2017-01-24,AAPL,27.60005760192871
2017-01-25,AAPL,28.039464950561523
2017-01-26,AAPL,28.053274154663086
2017-01-27,AAPL,28.055574417114258
2017-01-30,AAPL,27.981956481933594
2017-01-31,AAPL,27.917537689208984
2017-02-01,AAPL,29.619964599609375
2017-02-02,AAPL,29.569355010986328
2017-02-03,AAPL,29.695884704589844
2017-02-06,AAPL,29.974262237548828
2017-02-07,AAPL,30.2595157623291
2017-02-08,AAPL,30.376848220825195
2017-02-09,AAPL,30.59636116027832
2017-02-10,AAPL,30.52705192565918
2017-02-13,AAPL,30.797372817993164
2017-02-14,AAPL,31.19710922241211
2017-02-15,AAPL,31.310319900512695
2017-02-16,AAPL,31.27336311340332
2017-02-17,AAPL,31.358840942382813
2017-02-21,AAPL,31.585285186767578
2017-02-22,AAPL,31.680011749267578
2017-02-23,AAPL,31.54599380493164
2017-02-24,AAPL,31.576038360595703
2017-02-27,AAPL,31.63840675354004
2017-02-28,AAPL,31.65229034423828
2017-03-01,AAPL,32.299232482910156
2017-03-02,AAPL,32.10747528076172
2017-03-03,AAPL,32.29692077636719
2017-03-06,AAPL,32.195247650146484
2017-03-07,AAPL,32.23684310913086
2017-03-08,AAPL,32.11669921875
2017-03-09,AAPL,32.04277038574219
2017-03-10,AAPL,32.1490592956543
2017-03-13,AAPL,32.16291809082031
2017-03-14,AAPL,32.11439514160156
2017-03-15,AAPL,32.45405197143555
2017-03-16,AAPL,32.507198333740234
2017-03-17,AAPL,32.3454475402832
2017-03-20,AAPL,32.68510055541992
2017-03-21,AAPL,32.31078338623047
2017-03-22,AAPL,32.67586135864258
2017-03-23,AAPL,32.56032943725586
2017-03-24,AAPL,32.49563980102539
2017-03-27,AAPL,32.55110168457031
2017-03-28,AAPL,33.22576141357422
