"parent_company","ticker","year","month","ym","n_papers","total_citations","avg_citations","price_start","price_end","price_avg","monthly_return","volume_avg","sp500_return","excess_return"
"Alphabet","GOOG",2017,1,"2017-01",7,3391,178.473684210526,38.9869194030762,39.5150833129883,40.0662956237793,0.0135472080892453,33200100,0.00931869907587225,0.00422850901337309
"Alphabet","GOOG",2017,2,"2017-02",15,2256,53.7142857142857,39.4607849121094,40.825325012207,40.5132189298931,0.0345796492172389,27035368.4210526,0.0368887903089599,-0.00230914109172098
"Alphabet","GOOG",2017,3,"2017-03",26,20421,221.967391304348,41.4219284057617,41.1402435302734,41.3659535283628,-0.0068003805310305,29421826.0869565,-0.0138733496286677,0.00707296909763722
"Alphabet","GOOG",2017,4,"2017-04",13,13223,200.348484848485,41.5860786437988,44.9291343688965,41.8591810527601,0.0803888184248447,26546000,0.0107509887641124,0.0696378296607323
"Alphabet","GOOG",2017,5,"2017-05",9,2863,124.478260869565,45.2569427490234,47.8501510620117,46.581770810214,0.0572996794628651,29254636.3636364,0.00982693762394455,0.0474727418389206
"Alphabet","GOOG",2017,6,"2017-06",10,5836,162.111111111111,47.953800201416,45.0665092468262,47.300010507757,-0.0602098466120019,39625090.9090909,-0.00273661815923322,-0.0574732284527687
"Alphabet","GOOG",2017,7,"2017-07",12,6903,150.065217391304,44.5690879821777,46.1461448669434,46.7593584060669,0.0353845446735697,36679200,0.0169987109548734,0.0183858337186963
"Alphabet","GOOG",2017,8,"2017-08",7,779,20.5,46.1625061035156,46.5840492248535,45.7257468182108,0.00913172089038266,24311304.3478261,-0.00189803344726924,0.0110297543376519
"Alphabet","GOOG",2017,9,"2017-09",3,837,139.5,46.4853591918945,47.564998626709,46.1857925415039,0.023225365009177,28053800,0.017286167349619,0.00593919765955806
"Alphabet","GOOG",2017,10,"2017-10",21,8046,141.157894736842,47.2753753662109,50.4180679321289,48.726075259122,0.0664763112206644,28890636.3636364,0.0182434563959875,0.0482328548246769
"Alphabet","GOOG",2017,11,"2017-11",27,6743,92.3698630136986,50.8574600219727,50.6546249389648,51.1050718398321,-0.00398830541124505,23110000,0.0264484088541294,-0.0304367142653745
"Alphabet","GOOG",2017,12,"2017-12",11,1606,30.8846153846154,50.0972061157227,51.8939552307129,51.7577219009399,0.0358652558555823,28163700,0.011880213255067,0.0239850426005153
"Alphabet","GOOG",2018,1,"2018-01",6,4023,309.461538461538,52.8163757324219,58.0206604003906,56.0781253633045,0.0985354370836552,27369904.7619048,0.0474810899944376,0.0510543470892176
"Alphabet","GOOG",2018,2,"2018-02",25,44232,631.885714285714,57.9095611572266,54.7867050170898,53.9672741137053,-0.0539264342145169,44612631.5789474,-0.0383241210399322,-0.0156023131745846
"Alphabet","GOOG",2018,3,"2018-03",15,6686,109.606557377049,53.0405426025391,51.1694030761719,54.1301187787737,-0.0352775336479611,43193619.047619,-0.0137432192022127,-0.0215343144457484
"Alphabet","GOOG",2018,4,"2018-04",20,7730,117.121212121212,49.9137115478516,50.4522857666016,51.3631215776716,0.0107901056052239,39729428.5714286,0.0256286771728297,-0.0148385715676059
"Alphabet","GOOG",2018,5,"2018-05",23,76004,1055.61111111111,51.4431571960449,53.8077430725098,53.028435273604,0.0459650224704062,28954000,0.0190108368897324,0.0269541855806738
"Alphabet","GOOG",2018,6,"2018-06",41,8309,74.1875,55.5191917419434,55.3282623291016,56.4181438627697,-0.00343898041112069,30567619.047619,-0.00594232445591484,0.00250334404479415
"Alphabet","GOOG",2018,7,"2018-07",28,12433,113.027272727273,55.913948059082,60.3673858642578,58.8959908258347,0.0796480656395433,30419142.8571429,0.0328528077457129,0.0467952578938304
