year,company_works,big8_works,total_ai_papers,company_share_pct,big8_share_of_company_pct
2017,892,394,15862,5.623502710881351,44.17040358744394
2018,1698,730,24501,6.930329374311253,42.99175500588928
2019,3347,1540,35040,9.551940639269406,46.01135345085151
2020,4609,2075,46656,9.878686556927297,45.0206118463875
2021,3835,1594,51678,7.420952823251674,41.5645371577575
2022,1505,322,54155,2.779060105253439,21.3953488372093
2023,1514,276,67488,2.243361782835467,18.229854689564068
2024,1520,258,87474,1.7376591901593617,16.973684210526315
2025,1568,205,107653,1.456531634046427,13.073979591836734
