ticker,year,n_papers,total_citations,annual_return,sp500_return,excess_return,rd_b,patents,models,paper_share,d_papers,d_share,d_rd,d_patents,d_models,L_d_papers,L_d_share,L_d_patents,L_d_models,post
AAPL,2019,12,152,0.8874254313515385,0.287147959023383,0.6002774723281554,16.217,8128,0,0.00358530026889752,0.7731898882334818,0.19685540301386606,0.13028610708929111,0.10456796017162162,-0.6931471805599453,0.6931471805599452,0.27255049758287164,-0.03779597558179404,0.6931471805599453,0
AAPL,2020,36,1702,0.7823998923313739,0.15292906541696086,0.629470826914413,18.752,9430,0,0.007810804946843133,1.0459685551826876,0.7786657971589284,0.14524033865736463,0.14858120580923995,0,0.7731898882334818,0.19685540301386606,0.10456796017162162,-0.6931471805599453,0
AAPL,2021,22,827,0.38060961325105325,0.28793058018340584,0.09267903306764741,21.914,9464,1,0.005736636245110821,-0.4754236967150747,-0.30863500617864226,0.1558252885885998,0.0035990300307187084,0.6931471805599453,1.0459685551826876,0.7786657971589284,0.14858120580923995,0,0
AAPL,2022,10,2300,-0.2819950745442744,-0.19953050663444413,-0.08246456790983028,26.251,10097,1,0.006644518272425249,-0.737598943130779,0.14691917625411044,0.1805783815669213,0.06474322334609894,0,-0.4754236967150747,-0.30863500617864226,0.0035990300307187084,0.6931471805599453,1
AAPL,2023,12,746,0.5479824238705823,0.2472948720788867,0.3006875517916956,29.915,12006,2,0.007926023778071334,0.16705408466316607,0.17635929997953603,0.13065594329187213,0.1731681748074667,0.4054651081081645,-0.737598943130779,0.14691917625411044,0.06474322334609894,0,1
AAPL,2024,11,456,0.3555637480849847,0.24010976272160814,0.11545398536337656,31.37,13404,10,0.007236842105263158,-0.08004270767353638,-0.09096655683255772,0.04749199536059168,0.11014664504541294,1.2992829841302609,0.16705408466316607,0.17635929997953603,0.1731681748074667,0.4054651081081645,1
AAPL,2025,7,91,0.1249334755460484,0.1751182939380753,-0.05018481839202689,34.55,12331,1,0.004464285714285714,-0.4054651081081646,-0.48307571081308787,0.09655552801109213,-0.08343675298667108,-1.7047480922384253,-0.08004270767353638,-0.09096655683255772,0.11014664504541294,1.2992829841302609,1
AMZN,2019,151,5561,0.2005743720383446,0.287147959023383,-0.08657358698503842,35.931,3840,6,0.04511502838362713,1.034896474282002,0.36837458892276853,0.4627659619455047,0.10912918224324741,1.9459101490553132,0.523248143764548,-0.10743552522430777,-0.0198424914164832,0,0
AMZN,2020,220,8554,0.7159709483183182,0.15292906541696086,0.5630418829013574,42.74,3680,0,0.0477326968973747,0.374282180671476,0.056401218028255595,0.17353481725752262,-0.04255961441879563,-1.9459101490553132,1.034896474282002,0.36837458892276853,0.10912918224324741,1.9459101490553132,0
AMZN,2021,182,5133,0.04635303236972332,0.28793058018340584,-0.24157754781368251,56.052,2994,2,0.04745762711864407,-0.1886765486763311,-0.005779380356414787,0.27114458141696973,-0.2063024661834021,1.0986122886681098,0.374282180671476,0.056401218028255595,-0.04255961441879563,-1.9459101490553132,0
AMZN,2022,49,8086,-0.5070552576558551,-0.19953050663444413,-0.30752475102141097,73.213,2785,2,0.03255813953488372,-1.2974631474132754,-0.3768098523477881,0.26709316951947315,-0.07236241261818943,0,-0.1886765486763311,-0.005779380356414787,-0.2063024661834021,1.0986122886681098,1
AMZN,2023,34,1688,0.7704498133500892,0.2472948720788867,0.5231549412712025,85.622,2445,4,0.022457067371202115,-0.35667494393873245,-0.3714220303088833,0.15656925864480176,-0.13020275045241192,0.5108256237659905,-1.2974631474132754,-0.3768098523477881,-0.07236241261818943,0,1
AMZN,2024,33,1149,0.4632829327489677,0.24010976272160814,0.22317317002735956,88.544,2293,7,0.021710526315789475,-0.02898753687325195,-0.033808142992608925,0.03355734413226852,-0.06418411905106858,0.47000362924573547,-0.35667494393873245,-0.3714220303088833,-0.13020275045241192,0.5108256237659905,1
AMZN,2025,30,271,0.05589863541167065,0.1751182939380753,-0.11921965852640465,109,2104,6,0.01913265306122449,-0.09237332013101529,-0.12640076687435586,0.2078482786246285,-0.08602070900030334,-0.13353139262452252,-0.02898753687325195,-0.033808142992608925,-0.06418411905106858,0.47000362924573547,1
GOOGL,2019,728,185420,0.26994896789225026,0.287147959023383,-0.017198991131132768,26.018,8729,32,0.21750821631311623,0.8171221864642497,0.14024659072663614,0.19451022759036185,-0.18081203601891893,0.09531017980432477,0.6869552103120249,0.046296523854269855,0.09018898148808852,0.2657031657330058,0
